"corpus","user/isabelle.gribomont/react2"
"subcorpus","-"
Item,Frequency (focus),Frequency (reference),Relative frequency (focus),Relative frequency (reference),Score
"latinoamérica",635,392276,21.10950,20.02114,1.009
"abanderado",101,47635,3.35757,2.43121,1.009
"correcto",2343,1494923,77.88908,76.29848,1.009
"tortilla",187,103296,6.21650,5.27206,1.009
"máxime",152,80730,5.05298,4.12033,1.009
"doquier",102,48551,3.39082,2.47797,1.009
"incorporación",929,582490,30.88304,29.72936,1.009
"irrumpir",191,106196,6.34947,5.42007,1.009
"naranjo",143,75250,4.75379,3.84064,1.009
"despreciable",118,59133,3.92271,3.01805,1.009
"oxigenar",135,70156,4.48785,3.58065,1.009
"cual",19324,12461838,642.39374,636.03235,1.009
"cuauhtémoc",126,64655,4.18866,3.29989,1.009
"escisión",102,49207,3.39082,2.51145,1.009
"camuflar",125,64061,4.15541,3.26957,1.009
"diariamente",433,263028,14.39435,13.42453,1.009
"bachelet",171,93869,5.68461,4.79092,1.009
"lesbiano",131,68050,4.35487,3.47316,1.009
"soplar",192,107651,6.38272,5.49434,1.008
"artífice",120,61257,3.98920,3.12646,1.008
"ronald",123,63206,4.08893,3.22593,1.008
"engañoso",147,78748,4.88677,4.01917,1.008
"obstruir",127,65879,4.22190,3.36236,1.008
"atropellar",176,97600,5.85082,4.98135,1.008
"casita",154,83433,5.11947,4.25829,1.008
"agotamiento",176,97678,5.85082,4.98533,1.008
"be",172,95173,5.71785,4.85748,1.008
"sensato",145,77734,4.82028,3.96742,1.008
"descomponer",163,89444,5.41866,4.56508,1.008
"decadencia",195,110179,6.48245,5.62336,1.008
"rompecabezas",104,51401,3.45730,2.62343,1.008
"aseguramiento",154,83760,5.11947,4.27498,1.008
"mero",850,533529,28.25681,27.23047,1.008
"jo",111,56084,3.69001,2.86244,1.008
"titán",103,51037,3.42406,2.60485,1.008
"prosperidad",245,142910,8.14461,7.29390,1.008
"pesimista",120,62168,3.98920,3.17296,1.008
"fundacional",136,72638,4.52109,3.70733,1.008
"holocausto",145,78470,4.82028,4.00498,1.008
"clan",292,173492,9.70705,8.85475,1.008
"inflar",149,81085,4.95325,4.13845,1.008
"asir",173,96639,5.75109,4.93230,1.008
"indicativo",132,70233,4.38812,3.58458,1.008
"sereno",191,108440,6.34947,5.53460,1.008
"insoportable",169,94230,5.61812,4.80935,1.008
"haitiano",149,81332,4.95325,4.15106,1.008
"medellín",420,256596,13.96219,13.09625,1.008
"televisar",198,113109,6.58218,5.77290,1.008
"promulgar",229,133242,7.61272,6.80046,1.008
"gómez",1232,781962,40.95576,39.91009,1.007
"paradójico",123,65174,4.08893,3.32638,1.007
"manta",251,147949,8.34407,7.55108,1.007
"virtud",1401,891677,46.57388,45.50977,1.007
"machismo",108,55705,3.59028,2.84309,1.007
"reserva",1977,1264283,65.72202,64.52699,1.007
"dilema",222,129468,7.38001,6.60784,1.007
"hoguera",121,64165,4.02244,3.27488,1.007
"pescar",290,173480,9.64056,8.85414,1.007
"turbio",113,59033,3.75649,3.01295,1.007
"hipotecar",103,52643,3.42406,2.68681,1.007
"extender",2284,1463204,75.92772,74.67960,1.007
"ferrocarril",462,284905,15.35841,14.54110,1.007
"tránsito",941,594756,31.28196,30.35540,1.007
"perenne",101,51519,3.35757,2.62945,1.007
"casualidad",418,256543,13.89570,13.09354,1.007
"veto",130,70300,4.32163,3.58800,1.007
"estúpido",276,164733,9.17515,8.40771,1.007
"soberbio",138,75585,4.58758,3.85774,1.007
"especial",7816,5041683,259.82971,257.31946,1.007
"fructífero",126,67874,4.18866,3.46418,1.007
"sucre",201,116385,6.68191,5.94010,1.007
"fugar",111,58366,3.69001,2.97891,1.007
"lástima",260,154794,8.64326,7.90044,1.007
"desproteger",103,53235,3.42406,2.71703,1.007
"ofensa",120,64232,3.98920,3.27830,1.007
"bruto",556,346367,18.48328,17.67802,1.007
"insinuar",150,83813,4.98650,4.27768,1.007
"alvarez",184,105886,6.11677,5.40425,1.007
"milímetro",235,139002,7.81218,7.09444,1.007
"nítido",124,67253,4.12217,3.43249,1.007
"conjugar",217,127435,7.21380,6.50408,1.007
"aventurero",168,95735,5.58488,4.88616,1.007
"expulsión",346,210924,11.50219,10.76522,1.007
"sabana",153,86073,5.08623,4.39303,1.007
"métrico",101,52496,3.35757,2.67931,1.007
"abundar",340,207147,11.30273,10.57245,1.007
"paradójicamente",146,81648,4.85352,4.16718,1.007
"sepulcro",107,56478,3.55703,2.88255,1.007
"adverso",433,267458,14.39435,13.65063,1.007
"hostil",198,115492,6.58218,5.89453,1.006
"celeridad",114,61135,3.78974,3.12023,1.006
"ajeno",1060,673391,35.23791,34.36880,1.006
"eximir",136,75422,4.52109,3.84942,1.006
"dinamizar",136,75579,4.52109,3.85743,1.006
"cuidadoso",212,124782,7.04758,6.36867,1.006
"jeep",111,59441,3.69001,3.03377,1.006
"capricho",236,140349,7.84542,7.16319,1.006
"veneno",213,125505,7.08083,6.40558,1.006
"ciertamente",528,329575,17.55247,16.82098,1.006
"autoridades",107,57130,3.55703,2.91582,1.006
"intencionado",108,57851,3.59028,2.95262,1.006
"jalar",127,70224,4.22190,3.58412,1.006
"excusar",101,53446,3.35757,2.72780,1.006
"posibilitar",511,319086,16.98733,16.28564,1.006
"extensivo",159,91403,5.28569,4.66506,1.006
"antorcha",114,62286,3.78974,3.17898,1.006
"caos",442,274677,14.69354,14.01908,1.006
"reiniciar",212,125841,7.04758,6.42272,1.006
"relegar",198,116797,6.58218,5.96113,1.006
"condensar",138,78021,4.58758,3.98207,1.006
"cauce",295,179827,9.80678,9.17808,1.006
"inmunidad",148,84638,4.92001,4.31979,1.006
"palmar",112,61359,3.72325,3.13167,1.006
"diseminar",115,63328,3.82298,3.23216,1.006
"indirectamente",197,116440,6.54893,5.94291,1.006
"desencadenar",311,190291,10.33867,9.71215,1.006
"trinidad",280,170409,9.30813,8.69740,1.006
"piratería",117,64846,3.88947,3.30964,1.006
"resorte",112,61643,3.72325,3.14616,1.006
"jurídicamente",128,72008,4.25514,3.67517,1.006
"samuel",250,151243,8.31083,7.71920,1.005
"exiliar",130,73642,4.32163,3.75857,1.005
"ceguera",116,64639,3.85622,3.29907,1.005
"atañer",119,66609,3.95595,3.39962,1.005
"principios",119,66620,3.95595,3.40018,1.005
"dió",199,118472,6.61542,6.04662,1.005
"apéndice",144,82840,4.78704,4.22802,1.005
"agravio",214,128258,7.11407,6.54608,1.005
"callejero",248,150393,8.24434,7.67582,1.005
"grieta",191,113530,6.34947,5.79439,1.005
"diez",156,90907,5.18596,4.63975,1.005
"abocar",179,105884,5.95055,5.40415,1.005
"informante",110,61259,3.65676,3.12656,1.005
"estatutos",122,69140,4.05568,3.52880,1.005
"enredar",147,85453,4.88677,4.36138,1.005
"temible",100,55041,3.32433,2.80920,1.005
"reintegrar",115,64861,3.82298,3.31040,1.005
"época",3726,2405445,123.86458,122.77007,1.005
"contraposición",116,65611,3.85622,3.34868,1.005
"adelantar",1505,965943,50.03118,49.30019,1.005
"descendiente",320,198121,10.63786,10.11178,1.005
"adiestramiento",106,59478,3.52379,3.03566,1.005
"camarón",108,60795,3.59028,3.10288,1.005
"netamente",109,61594,3.62352,3.14366,1.005
"abrumador",128,73940,4.25514,3.77378,1.005
"obrar",290,179058,9.64056,9.13883,1.005
"insuficiente",461,289960,15.32517,14.79910,1.005
"foráneo",142,83352,4.72055,4.25415,1.004
"gomez",112,63899,3.72325,3.26130,1.004
"car",174,104158,5.78434,5.31606,1.004
"desechar",255,156748,8.47704,8.00017,1.004
"divulgación",309,191814,10.27218,9.78988,1.004
"castañeda",117,67347,3.88947,3.43728,1.004
"llena",110,62902,3.65676,3.21042,1.004
"sur",3933,2542402,130.74594,129.76015,1.004
"proliferar",110,63031,3.65676,3.21700,1.004
"irrupción",112,64514,3.72325,3.29269,1.004
"paralelamente",212,129421,7.04758,6.60544,1.004
"angustiar",109,62702,3.62352,3.20021,1.004
"deambular",103,58836,3.42406,3.00290,1.004
"supremacía",100,56925,3.32433,2.90536,1.004
"ría",105,60283,3.49055,3.07675,1.004
"consiguiente",568,360682,18.88220,18.40863,1.004
"primario",1924,1240615,63.96013,63.31901,1.004
"pm",397,250407,13.19759,12.78037,1.004
"columbia",127,75226,4.22190,3.83941,1.004
"guillén",101,58364,3.35757,2.97881,1.004
"furia",175,106436,5.81758,5.43232,1.004
"der",188,114919,6.24974,5.86528,1.004
"comparsa",131,77953,4.35487,3.97860,1.004
"hombres",167,101402,5.55163,5.17540,1.004
"aparente",379,239021,12.59921,12.19925,1.004
"perseverancia",109,63817,3.62352,3.25712,1.004
"activista",465,294968,15.45814,15.05470,1.004
"costear",106,62008,3.52379,3.16479,1.003
"yunes",133,79547,4.42136,4.05995,1.003
"nobleza",175,106839,5.81758,5.45289,1.003
"barbaridad",144,86728,4.78704,4.42646,1.003
"locutor",115,67905,3.82298,3.46576,1.003
"contundencia",103,60133,3.42406,3.06909,1.003
"omc",135,80928,4.48785,4.13044,1.003
"bogotá",1078,693077,35.83629,35.37355,1.003
"inadmisible",105,61489,3.49055,3.13830,1.003
"acechar",103,60199,3.42406,3.07246,1.003
"deliberación",106,62166,3.52379,3.17285,1.003
"imparcialidad",113,66765,3.75649,3.40758,1.003
"radial",242,150559,8.04488,7.68429,1.003
"incursionar",133,79928,4.42136,4.07940,1.003
"orar",287,179957,9.54083,9.18472,1.003
"esther",200,123500,6.64866,6.30324,1.003
"polo",541,344899,17.98463,17.60309,1.003
"aprecio",137,82673,4.55433,4.21950,1.003
"presupuestal",150,91192,4.98650,4.65429,1.003
"rentar",114,67891,3.78974,3.46505,1.003
"refugiar",240,149710,7.97839,7.64096,1.003
"humo",492,313369,16.35571,15.99385,1.003
"multimillonario",128,77033,4.25514,3.93164,1.003
"sacerdote",746,478362,24.79951,24.41483,1.003
"caótico",131,79125,4.35487,4.03841,1.003
"marginal",237,147962,7.87866,7.55174,1.003
"montañoso",151,92213,5.01974,4.70640,1.003
"provecho",258,161834,8.57677,8.25975,1.003
"reelegir",124,74880,4.12217,3.82176,1.003
"genuino",223,139264,7.41326,7.10781,1.003
"acero",765,491330,25.43113,25.07670,1.003
"consagración",105,62720,3.49055,3.20113,1.003
"tirador",110,66039,3.65676,3.37053,1.003
"gorra",122,73834,4.05568,3.76837,1.003
"comisiones",197,122567,6.54893,6.25562,1.003
"orientar",1696,1096287,56.38065,55.95274,1.003
"tripulante",141,86268,4.68731,4.40298,1.003
"remunerar",183,113590,6.08353,5.79745,1.003
"ponce",177,109725,5.88407,5.60019,1.003
"hitler",253,159099,8.41056,8.12016,1.003
"hidroeléctrico",168,103886,5.58488,5.30218,1.003
"legado",440,280603,14.62706,14.32153,1.003
"sobrevolar",112,67566,3.72325,3.44846,1.003
"indirecto",456,291043,15.15895,14.85437,1.003
"estancar",184,114383,6.11677,5.83793,1.003
"alimenticio",395,251517,13.13111,12.83703,1.003
"surco",114,68998,3.78974,3.52155,1.003
"líbano",154,95008,5.11947,4.84906,1.003
"casual",269,169799,8.94245,8.66627,1.003
"puertorriqueño",102,61351,3.39082,3.13126,1.003
"pedagogía",247,155571,8.21110,7.94010,1.003
"salida",3342,2166494,111.09914,110.57439,1.002
"acarrear",206,128974,6.84812,6.58263,1.002
"oportunamente",195,121855,6.48245,6.21929,1.002
"palestina",142,87457,4.72055,4.46367,1.002
"inexistencia",155,95933,5.15271,4.89627,1.002
"cotidiano",1039,670333,34.53980,34.21273,1.002
"planes",169,105125,5.61812,5.36541,1.002
"inmerso",280,177304,9.30813,9.04931,1.002
"dentro",10460,6792265,347.72504,346.66635,1.002
"endeudamiento",209,131229,6.94785,6.69772,1.002
"imputación",192,120202,6.38272,6.13492,1.002
"maduración",143,88421,4.75379,4.51287,1.002
"próspero",137,84570,4.55433,4.31632,1.002
"alarcón",136,83996,4.52109,4.28702,1.002
"prudencia",171,106846,5.68461,5.45325,1.002
"estudiantes",372,237547,12.36651,12.12402,1.002
"relativamente",643,413693,21.37545,21.11423,1.002
"madero",203,127747,6.74839,6.52000,1.002
"alcantarillado",126,77712,4.18866,3.96630,1.002
"notas",105,64192,3.49055,3.27626,1.002
"agresividad",139,86345,4.62082,4.40691,1.002
"siete",141,87705,4.68731,4.47632,1.002
"explosión",503,323079,16.72139,16.48944,1.002
"significación",216,136523,7.18055,6.96792,1.002
"congo",110,67624,3.65676,3.45142,1.002
"ésto",175,109892,5.81758,5.60871,1.002
"potosí",210,132696,6.98110,6.77259,1.002
"motorizar",132,82050,4.38812,4.18770,1.002
"igual",7274,4725105,241.81183,241.16183,1.002
"arraigo",101,61966,3.35757,3.16265,1.002
"allanamiento",143,89395,4.75379,4.56258,1.002
"socializar",137,85511,4.55433,4.36434,1.002
"repercusión",441,283219,14.66030,14.45505,1.002
"profesar",110,68190,3.65676,3.48031,1.002
"arrendatario",106,65655,3.52379,3.35093,1.002
"halcón",100,62009,3.32433,3.16484,1.002
"neutralidad",126,78998,4.18866,4.03193,1.002
"delinear",113,70607,3.75649,3.60367,1.001
"pradera",112,70020,3.72325,3.57371,1.001
"duplicar",426,274252,14.16165,13.99739,1.001
"socialmente",253,161747,8.41056,8.25531,1.001
"entendimiento",399,256824,13.26408,13.10789,1.001
"desplomar",104,64961,3.45730,3.31551,1.001
"contradecir",250,160121,8.31083,8.17232,1.001
"directo",4214,2738989,140.08731,139.79362,1.001
"caminos",102,63959,3.39082,3.26437,1.001
"postergar",164,104362,5.45190,5.32647,1.001
"sólido",1154,748449,38.36278,38.19964,1.001
"lucrativo",114,71863,3.78974,3.66777,1.001
"alegría",1179,764842,39.19387,39.03632,1.001
"il",118,74562,3.92271,3.80553,1.001
"otto",100,62986,3.32433,3.21470,1.001
"manifestante",295,189965,9.80678,9.69551,1.001
"clinton",214,137347,7.11407,7.00997,1.001
"mutuo",546,353582,18.15085,18.04626,1.001
"falta",5289,3440204,175.82387,175.58252,1.001
"cabida",204,131050,6.78164,6.68858,1.001
"dependencia",1337,868386,44.44630,44.32104,1.001
"imposibilitar",118,75220,3.92271,3.83911,1.001
"soportar",1153,748849,38.32954,38.22006,1.001
"alambre",144,92233,4.78704,4.70743,1.001
"dic",135,86417,4.48785,4.41059,1.001
"improvisar",241,155425,8.01164,7.93264,1.001
"adentro",431,279250,14.32787,14.25247,1.001
"ilustre",267,172540,8.87596,8.80617,1.001
"supresión",194,125055,6.44920,6.38261,1.001
"símbolo",968,628980,32.17952,32.10213,1.001
"bicentenario",187,120675,6.21650,6.15906,1.001
"repercutir",254,164304,8.44380,8.38581,1.001
"guiar",968,629158,32.17952,32.11122,1.001
"trasfondo",108,69453,3.59028,3.54477,1.000
"transcripción",139,89722,4.62082,4.57927,1.000
"sortear",224,145081,7.44650,7.40470,1.000
"infundado",104,66953,3.45730,3.41717,1.000
"coto",126,81282,4.18866,4.14850,1.000
"milagro",500,324795,16.62165,16.57702,1.000
"tibio",149,96391,4.95325,4.91964,1.000
"hidrocarburo",213,138181,7.08083,7.05254,1.000
"exportador",297,192937,9.87326,9.84720,1.000
"iu",314,204033,10.43840,10.41352,1.000
"decaer",132,85551,4.38812,4.36639,1.000
"acompañamiento",401,260776,13.33057,13.30959,1.000
"saldo",484,314869,16.08976,16.07041,1.000
"alarmante",148,96090,4.92001,4.90428,1.000
"encerrar",607,395021,20.17869,20.16124,1.000
"colimar",123,79920,4.08893,4.07899,1.000
"ultra",256,166618,8.51029,8.50392,1.000
"quebrada",114,74224,3.78974,3.78827,1.000
"cuajar",101,65810,3.35757,3.35884,1.000
"sancionar",656,427326,21.80761,21.81004,1.000
"matiz",346,225481,11.50219,11.50819,1.000
"linares",173,112833,5.75109,5.75882,1.000
"prisión",1092,711527,36.30170,36.31520,1.000
"sobrevenir",101,65990,3.35757,3.36802,1.000
"desistir",147,96010,4.88677,4.90020,1.000
"pantano",126,82446,4.18866,4.20791,1.000
"abortar",130,85129,4.32163,4.34485,1.000
"vigilante",180,117819,5.98380,6.01329,1.000
"cobre",456,297717,15.15895,15.19500,1.000
"concordancia",140,91890,4.65406,4.68992,1.000
"potencialidad",186,121911,6.18326,6.22214,1.000
"notorio",268,175367,8.90921,8.95045,1.000
"subsuelo",111,73111,3.69001,3.73147,1.000
"industrias",114,75108,3.78974,3.83339,1.000
"recurrir",1456,949627,48.40226,48.46745,1.000
"osorio",148,97306,4.92001,4.96634,1.000
"propagar",199,130543,6.61542,6.66271,1.000
"ofender",356,232881,11.83462,11.88587,1.000
"cautivo",120,79157,3.98920,4.04005,1.000
"calcular",1351,881393,44.91171,44.98489,0.999
"africano",559,365282,18.58301,18.64341,0.999
"secundar",105,69424,3.49055,3.54329,0.999
"desmontar",215,141113,7.14731,7.20218,0.999
"leyes",150,98771,4.98650,5.04111,0.999
"avalar",518,338656,17.22004,17.28446,0.999
"presuponer",118,77992,3.92271,3.98059,0.999
"combinado",183,120491,6.08353,6.14967,0.999
"medidas",120,79477,3.98920,4.05638,0.999
"chofer",163,107665,5.41866,5.49505,0.999
"funcionario",2949,1923781,98.03452,98.18671,0.999
"entonar",114,76047,3.78974,3.88132,0.999
"plenitud",195,128893,6.48245,6.57849,0.999
"refresco",163,108103,5.41866,5.51740,0.999
"carecer",1053,688351,35.00521,35.13234,0.999
"gradualmente",152,100974,5.05298,5.15355,0.999
"entramado",145,96416,4.82028,4.92092,0.999
"mediador",190,125829,6.31623,6.42211,0.999
"conflictivo",150,99842,4.98650,5.09578,0.999
"sucesivo",434,285019,14.42760,14.54692,0.999
"augusto",295,194533,9.80678,9.92865,0.999
"descuido",109,73251,3.62352,3.73861,0.999
"mente",2014,1315555,66.95203,67.14383,0.999
"ap",213,141282,7.08083,7.21081,0.999
"salgar",341,224757,11.33597,11.47124,0.999
"custodiar",159,106224,5.28569,5.42150,0.999
"colonización",147,98476,4.88677,5.02606,0.999
"cronograma",148,99159,4.92001,5.06092,0.999
"sed",204,135705,6.78164,6.92617,0.999
"espiral",194,129199,6.44920,6.59411,0.999
"paciencia",537,352923,17.85166,18.01263,0.999
"penoso",114,77044,3.78974,3.93220,0.999
"acierto",357,235556,11.86786,12.02240,0.999
"admirar",533,350385,17.71869,17.88309,0.999
"perfectamente",1287,842199,42.78414,42.98449,0.999
"distraer",259,171879,8.61002,8.77243,0.999
"chispa",138,93039,4.58758,4.74856,0.998
"embargar",116,78709,3.85622,4.01718,0.998
"tildar",120,81327,3.98920,4.15080,0.998
"mariscal",111,75509,3.69001,3.85386,0.998
"horizonte",572,376408,19.01517,19.21126,0.998
"insólito",155,104386,5.15271,5.32769,0.998
"sacar",5122,3345100,170.27223,170.72856,0.998
"fallir",277,184068,9.20840,9.39454,0.998
"lopez",140,94702,4.65406,4.83344,0.998
"sudeste",127,86226,4.22190,4.40084,0.998
"resonar",116,79058,3.85622,4.03499,0.998
"comunicador",140,94741,4.65406,4.83543,0.998
"ei",100,68738,3.32433,3.50828,0.998
"avergonzar",157,105941,5.21920,5.40706,0.998
"fósforo",105,72112,3.49055,3.68048,0.998
"administrar",1052,690115,34.97196,35.22237,0.998
"stone",124,84565,4.12217,4.31606,0.998
"extorsión",119,81304,3.95595,4.14963,0.998
"xxi",590,388826,19.61355,19.84506,0.998
"recambio",143,97119,4.75379,4.95680,0.998
"igualmente",1498,981533,49.79848,50.09588,0.998
"departamento",4061,2654497,135.00108,135.48129,0.998
"carabineros",114,78471,3.78974,4.00503,0.998
"grabador",100,69359,3.32433,3.53997,0.998
"atravesar",1104,724699,36.70061,36.98748,0.998
"ecuatoriano",369,244966,12.26678,12.50267,0.998
"milenario",120,82558,3.98920,4.21363,0.998
"bachiller",164,111298,5.45190,5.68047,0.998
"industrial",3053,1997340,101.49182,101.94105,0.998
"implicar",3086,2018893,102.58886,103.04108,0.998
"revelador",111,76883,3.69001,3.92399,0.998
"pediátrico",150,102407,4.98650,5.22669,0.998
"morena",244,164139,8.11137,8.37739,0.998
"nuevamente",1517,995410,50.43010,50.80414,0.998
"partícipe",176,119840,5.85082,6.11644,0.997
"facilitador",109,76117,3.62352,3.88489,0.997
"regimiento",152,104239,5.05298,5.32019,0.997
"novedad",1445,948625,48.03658,48.41631,0.997
"despensa",104,72965,3.45730,3.72402,0.997
"proliferación",178,121343,5.91731,6.19315,0.997
"herencia",512,339503,17.02057,17.32769,0.997
"canasta",212,143670,7.04758,7.33269,0.997
"asombro",145,99991,4.82028,5.10338,0.997
"canciller",268,180375,8.90921,9.20605,0.997
"carencia",478,317594,15.89030,16.20949,0.997
"rayar",118,82518,3.92271,4.21159,0.997
"macroeconómico",128,89090,4.25514,4.54701,0.997
"estabilización",112,78656,3.72325,4.01448,0.997
"quo",176,120550,5.85082,6.15268,0.997
"corbata",107,75493,3.55703,3.85304,0.997
"apego",142,98359,4.72055,5.02009,0.997
"indeterminar",102,72321,3.39082,3.69115,0.997
"retirada",350,234407,11.63516,11.96376,0.997
"predominante",154,106383,5.11947,5.42962,0.997
"ameritar",114,80292,3.78974,4.09798,0.997
"encadenar",130,90752,4.32163,4.63184,0.997
"sirena",123,86202,4.08893,4.39961,0.997
"ocampo",103,73153,3.42406,3.73361,0.997
"status",134,93495,4.45460,4.77184,0.997
"despertar",1370,901056,45.54333,45.98846,0.997
"firmante",118,83158,3.92271,4.24425,0.997
"ministros",229,155720,7.61272,7.94770,0.997
"revertir",344,230921,11.43570,11.78584,0.997
"bla",121,85290,4.02244,4.35307,0.997
"idear",234,159147,7.77893,8.12261,0.997
"américas",243,165033,8.07812,8.42302,0.997
"internamente",106,75625,3.52379,3.85978,0.997
"motriz",100,71838,3.32433,3.66650,0.997
"bestia",298,201273,9.90651,10.27265,0.997
"impulsor",188,129389,6.24974,6.60381,0.997
"prostituta",110,78427,3.65676,4.00279,0.997
"céntrico",175,121038,5.81758,6.17759,0.997
"arar",265,179870,8.80948,9.18028,0.997
"direccion",149,104138,4.95325,5.31504,0.997
"alba",358,240794,11.90110,12.28974,0.997
"cerro",650,431651,21.60815,22.03078,0.997
"antemano",275,186607,9.14191,9.52412,0.997
"reproducir",887,586625,29.48682,29.94040,0.997
"sociólogo",127,89892,4.22190,4.58794,0.997
"orador",125,88662,4.15541,4.52517,0.996
"mejía",161,112240,5.35217,5.72855,0.996
"durango",111,79654,3.69001,4.06541,0.996
"científicamente",105,75828,3.49055,3.87014,0.996
"corresponsal",153,107217,5.08623,5.47218,0.996
"computación",220,151084,7.31353,7.71109,0.996
"prójimo",119,85081,3.95595,4.34240,0.996
"bando",303,205416,10.07272,10.48411,0.996
"interrogar",200,138160,6.64866,7.05147,0.996
"copar",188,130332,6.24974,6.65194,0.996
"atenuar",114,81965,3.78974,4.18336,0.996
"tentar",129,91836,4.28839,4.68716,0.996
"honorable",189,131183,6.28299,6.69537,0.996
"puntualmente",108,78262,3.59028,3.99437,0.996
"quemar",855,566728,28.42303,28.92489,0.996
"indemnizar",115,82859,3.82298,4.22899,0.996
"instruir",263,179641,8.74299,9.16859,0.996
"sufragar",103,75070,3.42406,3.83145,0.996
"eficazmente",104,75805,3.45730,3.86897,0.996
"tumba",350,236870,11.63516,12.08947,0.996
"tenso",165,115882,5.48515,5.91443,0.996
"lucas",460,308986,15.29192,15.77015,0.996
"relevo",197,137033,6.54893,6.99395,0.996
"simbolizar",190,132669,6.31623,6.77121,0.996
"igualitario",137,98007,4.55433,5.00212,0.996
"ahorrar",1040,688689,34.57304,35.14959,0.996
"prosperar",245,168678,8.14461,8.60906,0.996
"sujetar",329,223725,10.93705,11.41857,0.996
"habitante",2233,1469297,74.23231,74.99057,0.996
"pirata",342,232256,11.36921,11.85398,0.996
"afilar",122,88367,4.05568,4.51011,0.996
"intrínseco",135,96957,4.48785,4.94853,0.996
"enfermero",456,307025,15.15895,15.67006,0.996
"endurecer",131,94488,4.35487,4.82252,0.996
"embalse",182,127953,6.05028,6.53052,0.995
"flamante",156,110995,5.18596,5.66501,0.995
"ensayar",192,134552,6.38272,6.86732,0.995
"devastador",127,92074,4.22190,4.69931,0.995
"sabiduría",395,267503,13.13111,13.65293,0.995
"incitar",150,107197,4.98650,5.47116,0.995
"cancún",119,86918,3.95595,4.43616,0.995
"forma",23320,15269334,775.23401,779.32245,0.995
"limón",346,235585,11.50219,12.02388,0.995
"esbozar",127,92304,4.22190,4.71105,0.995
"costoso",341,232392,11.33597,11.86092,0.995
"dengue",113,83244,3.75649,4.24864,0.995
"vínculo",993,659148,33.01061,33.64186,0.995
"esmeralda",111,82070,3.69001,4.18872,0.995
"libremente",348,237247,11.56867,12.10871,0.995
"vencedor",236,163988,7.84542,8.36969,0.995
"rené",175,124282,5.81758,6.34315,0.995
"televisor",285,196348,9.47434,10.02129,0.995
"oficialista",155,111256,5.15271,5.67833,0.995
"coalición",562,377947,18.68274,19.28981,0.995
"repente",419,284334,13.92895,14.51195,0.995
"brevedad",123,90574,4.08893,4.62275,0.995
"indiferente",218,152846,7.24704,7.80102,0.995
"acomodar",427,289807,14.19489,14.79129,0.995
"estatutario",111,82988,3.69001,4.23558,0.995
"resentir",103,77794,3.42406,3.97048,0.995
"desproporcionar",117,86966,3.88947,4.43861,0.995
"prescindir",211,148792,7.01434,7.59411,0.995
"chance",108,81400,3.59028,4.15453,0.995
"perturbar",129,95158,4.28839,4.85671,0.995
"aplazar",135,99112,4.48785,5.05852,0.995
"destructivo",137,100438,4.55433,5.12620,0.995
"aterrizar",257,179035,8.54353,9.13766,0.995
"arsenal",199,141062,6.61542,7.19958,0.995
"negligencia",138,101147,4.58758,5.16238,0.995
"mamar",134,98685,4.45460,5.03673,0.994
"sucesivamente",144,105242,4.78704,5.37138,0.994
"yacer",117,87600,3.88947,4.47096,0.994
"ene",154,112034,5.11947,5.71804,0.994
"jalisco",372,254909,12.36651,13.01015,0.994
"solís",112,84610,3.72325,4.31836,0.994
"explorador",153,111535,5.08623,5.69257,0.994
"tuberculosis",128,95158,4.25514,4.85671,0.994
"mujeres",592,399255,19.68004,20.37734,0.994
"redundar",113,85507,3.75649,4.36414,0.994
"reportero",230,162180,7.64596,8.27741,0.994
"ia",133,98684,4.42136,5.03667,0.994
"electo",409,279544,13.59651,14.26748,0.994
"tragar",284,197647,9.44110,10.08759,0.994
"dificultar",386,264780,12.83192,13.51395,0.994
"delante",1419,941719,47.17226,48.06384,0.994
"abstracto",313,217039,10.40516,11.07732,0.994
"emplear",2298,1517947,76.39312,77.47359,0.994
"sagrado",725,487120,24.10140,24.86183,0.994
"fiel",947,632638,31.48141,32.28883,0.994
"semanario",113,86105,3.75649,4.39466,0.994
"recreo",121,91391,4.02244,4.66445,0.994
"this",105,80945,3.49055,4.13130,0.994
"primeramente",110,84402,3.65676,4.30774,0.994
"peru",132,98882,4.38812,5.04678,0.994
"abrazar",502,341402,16.68814,17.42461,0.994
"folleto",206,147529,6.84812,7.52964,0.994
"adivinar",172,125260,5.71785,6.39307,0.994
"destituir",116,88593,3.85622,4.52165,0.994
"engordar",120,91265,3.98920,4.65802,0.994
"adán",114,87433,3.78974,4.46244,0.994
"resguardo",147,109140,4.88677,5.57033,0.994
"normatividad",131,98691,4.35487,5.03703,0.994
"alivio",218,155735,7.24704,7.94847,0.994
"irritar",118,90367,3.92271,4.61219,0.993
"exclamar",152,112679,5.05298,5.75096,0.993
"errar",143,106828,4.75379,5.45233,0.993
"destapar",110,85227,3.65676,4.34985,0.993
"estrada",139,104247,4.62082,5.32060,0.993
"desacuerdo",190,137692,6.31623,7.02758,0.993
"distar",109,84621,3.62352,4.31892,0.993
"plagar",140,105009,4.65406,5.35949,0.993
"municipios",151,112281,5.01974,5.73064,0.993
"adelanto",221,158225,7.34677,8.07555,0.993
"arturo",454,311038,15.09246,15.87488,0.993
"quincena",115,88812,3.82298,4.53282,0.993
"abuso",932,624683,30.98277,31.88282,0.993
"escalar",233,166290,7.74569,8.48718,0.993
