"corpus","user/isabelle.gribomont/react2"
"subcorpus","-"
Item,Frequency (focus),Frequency (reference),Relative frequency (focus),Relative frequency (reference),Score
"gobernante",2414,319976,80.24936,16.33106,1.549
"reprimir",2067,175043,68.71393,8.93392,1.549
"profundo",5192,1491275,172.59927,76.11230,1.548
"justo",6124,1885401,203.58205,96.22786,1.547
"subcomandante",1666,9691,55.38335,0.49461,1.546
"maniobra",2434,335408,80.91422,17.11869,1.545
"muerte",9028,3120204,300.12061,159.25024,1.543
"tortura",2316,289715,76.99151,14.78659,1.542
"significar",7570,2512411,251.65186,128.22945,1.541
"república",6154,1917478,204.57933,97.86501,1.539
"pretender",7341,2423148,244.03915,123.67361,1.538
"dominación",1954,145428,64.95743,7.42241,1.536
"che",1993,162809,66.25391,8.30951,1.535
"comprender",6474,2065666,215.21719,105.42830,1.534
"golpe",4633,1284375,154.01625,65.55245,1.534
"respeto",4585,1265345,152.42058,64.58119,1.534
"posición",8251,2822305,274.29056,144.04594,1.534
"terrorista",2859,532615,95.04263,27.18382,1.534
"propósito",4503,1231202,149.69463,62.83859,1.533
"humilde",2306,299078,76.65907,15.26446,1.533
"azucarero",1739,59946,57.81012,3.05955,1.531
"inmenso",2687,467123,89.32478,23.84121,1.529
"sucio",2258,285113,75.06339,14.55171,1.528
"actitud",4694,1325741,156.04410,67.66370,1.527
"decir",88081,36905799,2928.10400,1883.61304,1.527
"despojo",1730,62862,57.51093,3.20838,1.526
"convicción",2319,314346,77.09124,16.04372,1.526
"moral",5131,1515373,170.57143,77.34222,1.526
"contrainsurgente",1588,4849,52.79038,0.24749,1.524
"oligarca",1615,17528,53.68795,0.89460,1.523
"fila",2761,508814,91.78477,25.96906,1.522
"avance",4602,1297354,152.98572,66.21488,1.522
"consigna",1985,178065,65.98797,9.08815,1.522
"descontento",1858,126000,61.76607,6.43084,1.520
"paramilitarismo",1605,17953,53.35551,0.91629,1.520
"camaradas",1554,1854,51.66010,0.09463,1.515
"central",8854,3144602,294.33627,160.49547,1.514
"prolongar",2753,522262,91.51883,26.65542,1.512
"sindical",2900,587392,96.40560,29.97955,1.511
"atacar",3911,1025062,130.01459,52.31753,1.510
"imperio",2956,613592,98.26723,31.31676,1.510
"cese",1924,170207,63.96013,8.68709,1.509
"humanitario",2181,283814,72.50365,14.48541,1.507
"espíritu",4567,1316386,151.82220,67.18624,1.506
"coyuntura",1885,157186,62.66364,8.02252,1.506
"hostigamiento",1629,47531,54.15335,2.42591,1.505
"estudiante",8726,3119916,290.08112,159.23553,1.505
"yankis",1533,7204,50.96199,0.36768,1.504
"carácter",7186,2459547,238.88643,125.53135,1.503
"indio",2779,550172,92.38316,28.07990,1.502
